arm,arm_label,seed,learning_rule,update,train_reward,welfare,join_rate,success_rate,message_norm,hidden_norm,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability
no_comm,No Messages,2,ppo,108.0,0.3950863182544708,0.3950863182544708,0.7704101800918579,0.5568034052848816,0.0,0.0,,,
no_comm,No Messages,2,ppo,120.0,0.38004070520401,0.38004070520401,0.7575521469116211,0.5441080927848816,0.0,0.0,,,
no_comm,No Messages,3,ppo,1.0,-0.02656412683427334,-0.026564130559563637,0.5447266101837158,0.3771158754825592,0.0,0.0,,,
no_comm,No Messages,3,ppo,12.0,0.3533707857131958,0.3533707857131958,0.7421550154685974,0.5320637822151184,0.0,0.0,,,
no_comm,No Messages,3,ppo,24.0,0.3832714855670929,0.3832714855670929,0.7701172232627869,0.55419921875,0.0,0.0,,,
no_comm,No Messages,3,ppo,36.0,0.39536625146865845,0.39536625146865845,0.7743489742279053,0.5618489384651184,0.0,0.0,,,
no_comm,No Messages,3,ppo,48.0,0.3951758146286011,0.3951757848262787,0.7508463859558105,0.55126953125,0.0,0.0,,,
no_comm,No Messages,3,ppo,60.0,0.40072429180145264,0.40072429180145264,0.7717123031616211,0.5626627802848816,0.0,0.0,,,
no_comm,No Messages,3,ppo,72.0,0.40149253606796265,0.40149256587028503,0.7751953601837158,0.5641276240348816,0.0,0.0,,,
no_comm,No Messages,3,ppo,84.0,0.39997559785842896,0.39997559785842896,0.7612630724906921,0.5577799677848816,0.0,0.0,,,
no_comm,No Messages,3,ppo,96.0,0.3956543207168579,0.3956543207168579,0.7683594226837158,0.5579426884651184,0.0,0.0,,,
no_comm,No Messages,3,ppo,108.0,0.39046064019203186,0.39046064019203186,0.7699544429779053,0.55419921875,0.0,0.0,,,
no_comm,No Messages,3,ppo,120.0,0.38864099979400635,0.38864099979400635,0.7696614861488342,0.5530598759651184,0.0,0.0,,,
visible_bottleneck,Public Only,0,ppo,1.0,-0.23167531192302704,-0.04711588844656944,0.41171878576278687,0.3068033754825592,2.468888998031616,1.9932838678359985,,,
visible_bottleneck,Public Only,0,ppo,12.0,0.23919613659381866,0.4091244041919708,0.6562500596046448,0.5255534052848816,2.476306200027466,1.9024323225021362,,,
visible_bottleneck,Public Only,0,ppo,24.0,0.3518904149532318,0.50071781873703,0.6408854722976685,0.5618489384651184,2.7261857986450195,1.7407591342926025,,,
visible_bottleneck,Public Only,0,ppo,36.0,0.3788800835609436,0.5113590955734253,0.6299479603767395,0.5626627802848816,2.908881187438965,1.6080156564712524,,,
visible_bottleneck,Public Only,0,ppo,48.0,0.4039832055568695,0.5255826711654663,0.6395182609558105,0.5750325322151184,3.084538459777832,1.5072576999664307,,,
visible_bottleneck,Public Only,0,ppo,60.0,0.40966394543647766,0.5242513418197632,0.6262695789337158,0.5685221552848816,3.1488542556762695,1.446723461151123,,,
visible_bottleneck,Public Only,0,ppo,72.0,0.4228500723838806,0.5324056148529053,0.6329101920127869,0.5753580927848816,3.1681268215179443,1.403006672859192,,,
visible_bottleneck,Public Only,0,ppo,84.0,0.4199347496032715,0.5245605707168579,0.6248372793197632,0.5675455927848816,3.148379325866699,1.3639025688171387,,,
visible_bottleneck,Public Only,0,ppo,96.0,0.43638160824775696,0.5371012687683105,0.6290364861488342,0.57666015625,3.181600332260132,1.3258509635925293,,,
visible_bottleneck,Public Only,0,ppo,108.0,0.4478141963481903,0.5433642268180847,0.6344401240348816,0.5826823115348816,3.2161219120025635,1.2767962217330933,,,
visible_bottleneck,Public Only,0,ppo,120.0,0.4328809380531311,0.526806652545929,0.6221680045127869,0.5680338740348816,3.1932313442230225,1.2614965438842773,,,
visible_bottleneck,Public Only,1,ppo,1.0,-0.20257879793643951,-0.022023115307092667,0.456510454416275,0.3388671875,2.4664387702941895,1.9685559272766113,,,
visible_bottleneck,Public Only,1,ppo,12.0,0.23983889818191528,0.40698570013046265,0.6687825918197632,0.5262044072151184,2.508419990539551,1.8810895681381226,,,
visible_bottleneck,Public Only,1,ppo,24.0,0.3568990230560303,0.50465989112854,0.6408854722976685,0.5636393427848816,2.7244937419891357,1.7338931560516357,,,
visible_bottleneck,Public Only,1,ppo,36.0,0.3817276060581207,0.5139111280441284,0.6297200918197632,0.5641276240348816,2.9581992626190186,1.6013545989990234,,,
visible_bottleneck,Public Only,1,ppo,48.0,0.40288591384887695,0.5232389569282532,0.6248698234558105,0.5672200322151184,3.0823583602905273,1.5000730752944946,,,
visible_bottleneck,Public Only,1,ppo,60.0,0.41806134581565857,0.5336068272590637,0.6401367783546448,0.5794270634651184,3.0979084968566895,1.4592125415802002,,,
visible_bottleneck,Public Only,1,ppo,72.0,0.41349026560783386,0.5231478214263916,0.6228841543197632,0.56640625,3.103828191757202,1.412160873413086,,,
visible_bottleneck,Public Only,1,ppo,84.0,0.42307838797569275,0.5288313627243042,0.6263346672058105,0.5709635615348816,3.148313045501709,1.377034068107605,,,
visible_bottleneck,Public Only,1,ppo,96.0,0.43406450748443604,0.5342562198638916,0.6261393427848816,0.5738932490348816,3.179455041885376,1.3257291316986084,,,
