arm,arm_label,seed,shift,shift_label,sigma,theta_low,theta_high,welfare,shuffled_welfare,message_value,join_rate,success_rate,visible_norm,hidden_norm,hidden_norm_share,hidden_causal_influence,hidden_shuffle_causal_influence,hidden_action_flip_rate,hidden_probe_gain,causal_strategic_opacity_gap,probe_strategic_opacity_gap,live_monitor_content_accuracy,live_monitor_content_balanced_accuracy,live_monitor_true_probability,full_content_balanced_accuracy,auditor_content_balanced_accuracy,visible_content_balanced_accuracy,hidden_content_balanced_accuracy
asymmetric_free,Private Allowed,3,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.42809998989105225,0.11276400089263916,0.3153359889984131,0.5207200050354004,0.4675999879837036,1.3928184509277344,2.5165581703186035,0.6437236455146924,0.06137225404381752,0.20775921642780304,0.20768000185489655,0.048330380738006995,0.019352880425969055,0.01524030840868929,,,,0.9788359215506537,0.9305055408126467,0.9357377194510853,0.9798938469274932
public_monitored,Public Monitored,0,train_distribution,Training world,0.35,-0.2,1.8,0.5457159876823425,0.2846760153770447,0.26103997230529785,0.6343599557876587,0.5835999846458435,2.85801362991333,0.29638925194740295,0.09396049364898106,5.890161247634751e-09,1.5492645388803794e-08,0.0,0.08552282954185575,1.537567528956314e-09,0.022324877055076735,0.7617599964141846,0.6271914185535151,0.6904629468917847,0.9258248410260382,0.8403020114841825,0.8311206034737011,0.8836677058404683
public_monitored,Public Monitored,0,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.5618159770965576,0.29622000455856323,0.2655959725379944,0.6425999999046326,0.5964000225067139,2.8570873737335205,0.2923419177532196,0.09282377557846831,3.2722673459772977e-09,9.414287127640364e-09,0.0,0.07692577748365381,8.691010281591621e-10,0.020431176684012384,0.7599200010299683,0.6279081737698168,0.6921485662460327,0.9464954435085376,0.8695696660248838,0.8663748057666031,0.8939218826295572
public_monitored,Public Monitored,0,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.4805780053138733,0.22306999564170837,0.2575080096721649,0.6029599905014038,0.5343999862670898,2.9056661128997803,0.3106350898742676,0.09658146743418992,1.0686155960115684e-08,2.2056301673956114e-08,0.0,0.16526907797100043,2.7517707523357324e-09,0.04255811132866616,0.7778800129890442,0.623156867053817,0.7008812427520752,0.9182517402615277,0.7529826622905272,0.7489815411852495,0.8227699659755331
public_monitored,Public Monitored,0,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.6431699991226196,0.48938998579978943,0.1537800133228302,0.8118799924850464,0.7156000137329102,2.6366894245147705,0.2895717918872833,0.09895623475587136,9.618996266169688e-09,3.1716069770482136e-08,0.0,0.09303589874414475,1.4792093739638286e-09,0.014307061748376062,0.6211199760437012,0.5975825946817083,0.5962801575660706,0.954308032920558,0.8612721341764132,0.8553219560485955,0.9198011726943088
public_monitored,Public Monitored,0,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.41979193687438965,0.1177859902381897,0.30200594663619995,0.5217599868774414,0.4636000096797943,2.848731279373169,0.3155197501182556,0.0997138808449618,5.7007709663992046e-09,1.3491890271666307e-08,0.0,0.08113180516443896,1.7216667322635562e-09,0.024502287620990125,0.7667199969291687,0.6346170983108126,0.7299484610557556,0.9441340794975174,0.8630022743330784,0.8677835186947543,0.9034842296573956
public_monitored,Public Monitored,1,train_distribution,Training world,0.35,-0.2,1.8,0.541983962059021,0.28150999546051025,0.26047396659851074,0.6279599666595459,0.5794000029563904,2.8914618492126465,0.30347201228141785,0.09498538168157997,4.930199359876042e-09,1.542855976310875e-08,0.0,0.06565929258733649,1.2841885833883512e-09,0.01710253638427573,0.7988799810409546,0.6677710259023352,0.7274842262268066,0.9318526118821612,0.8661933192948247,0.858104358089836,0.9029333959752761
public_monitored,Public Monitored,1,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.5641059875488281,0.29728400707244873,0.2668219804763794,0.6345999836921692,0.593999981880188,2.8787174224853516,0.2972414493560791,0.09359108897519747,3.2384879222746576e-09,1.3095869277890415e-08,0.0,0.01983353665408727,8.640997611701592e-10,0.0052920235298944285,0.7933599948883057,0.6668513140112742,0.7246938943862915,0.9439465929475523,0.9241130562934651,0.9187878686831711,0.9193533800860639
public_monitored,Public Monitored,1,noisier_signals,Noisier signals,0.5599999999999999,-0.2,1.8,0.5038319826126099,0.25533801317214966,0.2484939694404602,0.6309599876403809,0.5595999956130981,2.919055461883545,0.3201260566711426,0.09882930451331477,8.61706173083121e-09,2.040298596739376e-08,0.0,0.12046299540398175,2.14128787440773e-09,0.02993432789862334,0.8041999936103821,0.6569569177430609,0.7269637584686279,0.9067146484232048,0.7862516530192231,0.7842882371216241,0.885983441170272
public_monitored,Public Monitored,1,knife_edge_regimes,Knife-edge regimes,0.35,0.25,1.25,0.645512044429779,0.5026699900627136,0.14284205436706543,0.8106399774551392,0.7164000272750854,2.6128101348876953,0.2583302855491638,0.08997480015618933,8.622884628550764e-09,3.263663117536453e-08,0.0,0.015536287862004894,1.231710554912381e-09,0.002219235275446882,0.6799600124359131,0.6471128507451939,0.6447217464447021,0.9515169820508707,0.9359806941888658,0.9285002123006622,0.9455677860075132
public_monitored,Public Monitored,1,harder_regimes,Harder regimes,0.35,0.04999999999999999,1.95,0.4285939633846283,0.10726200044155121,0.3213319629430771,0.5244799852371216,0.4699999988079071,2.868332624435425,0.3181034326553345,0.09983047735963839,5.16967002539559e-09,1.5666262953573096e-08,0.0,0.03167760523497565,1.661180217028352e-09,0.01017902707149062,0.8033599853515625,0.6725706422586527,0.7630556225776672,0.9440430473924066,0.912365442157431,0.9107900584096315,0.9186935805523886
public_monitored,Public Monitored,2,train_distribution,Training world,0.35,-0.2,1.8,0.5265479683876038,0.27113398909568787,0.2554139792919159,0.6454799771308899,0.5781999826431274,2.930469274520874,0.3723856210708618,0.11274658828272431,6.9481891351586e-09,1.5867604119534917e-08,0.0,0.1907294338270571,1.7746646358837137e-09,0.0487149636618628,0.7529600262641907,0.6176414101719394,0.6745468974113464,0.9698827231817783,0.7791532893547212,0.7812648781203274,0.957545127674667
public_monitored,Public Monitored,2,cleaner_signals,Cleaner signals,0.21,-0.2,1.8,0.571649968624115,0.3177119791507721,0.2539379894733429,0.676800012588501,0.616599977016449,2.9201886653900146,0.36138904094696045,0.11012661386902124,4.95665508637444e-09,1.408783223411092e-08,0.0,0.12629037682461397,1.258683027146744e-09,0.03206992438067333,0.7406399846076965,0.616343000743722,0.6655058860778809,0.9617422583262641,0.8354518815016502,0.8359749419889527,0.9517101753128037
