arm,arm_label,seed,learning_rule,theta_left,theta_right,theta_mid,join_rate,success_rate,welfare
asymmetric_free,Private Allowed,1,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
asymmetric_free,Private Allowed,1,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
asymmetric_free,Private Allowed,1,ppo,0.1333333333333333,0.3,0.21666666666666665,1.0,1.0,1.0
asymmetric_free,Private Allowed,1,ppo,0.3,0.4666666666666666,0.3833333333333333,1.0,1.0,1.0
asymmetric_free,Private Allowed,1,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9966183304786682,0.9963768124580383,0.9957729578018188
asymmetric_free,Private Allowed,1,ppo,0.6333333333333333,0.8,0.7166666666666667,0.9732142686843872,0.9698660969734192,0.9667521715164185
asymmetric_free,Private Allowed,1,ppo,0.8,0.9666666666666666,0.8833333333333333,0.8088127374649048,0.7674418687820435,0.7375643253326416
asymmetric_free,Private Allowed,1,ppo,0.9666666666666666,1.1333333333333333,1.0499999999999998,0.4859277606010437,0.11830635368824005,-0.15400996804237366
asymmetric_free,Private Allowed,1,ppo,1.1333333333333333,1.3,1.2166666666666668,0.14945586025714874,0.0,-0.11061669141054153
asymmetric_free,Private Allowed,1,ppo,1.3,1.4666666666666666,1.3833333333333333,0.022347629070281982,0.0,-0.017212189733982086
asymmetric_free,Private Allowed,1,ppo,1.4666666666666666,1.6333333333333333,1.5499999999999998,0.000985221704468131,0.0,-0.0006773399654775858
asymmetric_free,Private Allowed,1,ppo,1.6333333333333333,1.8,1.7166666666666668,0.0,0.0,0.0
asymmetric_free,Private Allowed,2,ppo,-0.2,-0.033333333333333354,-0.11666666666666668,1.0,1.0,1.0
asymmetric_free,Private Allowed,2,ppo,-0.033333333333333354,0.1333333333333333,0.049999999999999975,1.0,1.0,1.0
asymmetric_free,Private Allowed,2,ppo,0.1333333333333333,0.3,0.21666666666666665,1.0,1.0,1.0
asymmetric_free,Private Allowed,2,ppo,0.3,0.4666666666666666,0.3833333333333333,1.0,1.0,1.0
asymmetric_free,Private Allowed,2,ppo,0.4666666666666666,0.6333333333333333,0.5499999999999999,0.9977375268936157,0.9977375268936157,0.997081458568573
asymmetric_free,Private Allowed,2,ppo,0.6333333333333333,0.8,0.7166666666666667,0.982206404209137,0.982206404209137,0.9790153503417969
