country,period,treatment,theta,theta_star,z,benefit,n_join,join_fraction,n_valid,n_api_error,n_unparseable,join_fraction_valid,api_error_rate,unparseable_rate,coup_success,theoretical_attack,n_agents
4,6,pure,0.2410181592415746,0.2836684743342654,0.1909305800272628,0.3960016614801833,11,0.44,25,0,0,0.44,0.0,0.0,True,0.3336668633593492,
4,7,pure,-0.1340820959144991,0.3765108557586958,0.248150130958586,0.6038771632774055,12,0.48,25,0,0,0.48,0.0,0.0,True,0.917327743912964,
4,8,pure,2.6162111965883925,0.1793544041794173,0.2495422402472988,0.2185528138977907,5,0.2,25,0,0,0.2,0.0,0.0,False,7.7847116710316e-20,
4,9,pure,-0.8090012924673505,0.3303109607422282,0.2464962763202313,0.4932303522666545,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9996083830206454,
4,10,pure,-0.8545238530135958,0.2625468543419144,0.2888053706745818,0.356018353013633,9,0.36,25,0,0,0.36,0.0,0.0,True,0.9989926466267284,
4,11,pure,-0.5763494210580793,0.241809767574136,0.2414182520838937,0.3189302067377665,6,0.24,25,0,0,0.24,0.0,0.0,True,0.978653673446906,
4,12,pure,0.057008177389825,0.263436731384847,0.2487600844774094,0.3576566231440602,10,0.4,25,0,0,0.4,0.0,0.0,True,0.5220539636660746,
4,13,pure,1.0813021248100645,0.1854182414299001,0.3477759821774923,0.2276238566345746,7,0.28,25,0,0,0.28,0.0,0.0,False,5.197389088003406e-05,
4,14,pure,1.692790999527223,0.1087693395131291,0.217165916163826,0.1220439829277299,7,0.28,25,0,0,0.28,0.0,0.0,False,3.679018308184341e-11,
4,15,pure,1.185169193803829,0.2974869081323718,0.3216473710749151,0.4234610167071819,3,0.12,25,0,0,0.12,0.0,0.0,False,0.0002409837824543,
4,16,pure,0.474696157021359,0.3241677801679897,0.1743444628778607,0.4796571851051541,8,0.32,25,0,0,0.32,0.0,0.0,False,0.169072496207895,
4,17,pure,-1.881876882888354,0.1999022324007947,0.25640404595858,0.2498472567929126,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999999994606024,
4,18,pure,1.8275803587195043,0.359314348995189,0.2655332404624994,0.5608278387874974,12,0.48,25,0,0,0.48,0.0,0.0,False,7.420867672419979e-08,
4,19,pure,0.619705149917975,0.2566507103906737,0.3190635845585471,0.345262602625959,12,0.48,25,0,0,0.48,0.0,0.0,False,0.0311687747266168,
0,0,pure,-1.5690379156212926,0.5430661838642469,0.02481260212133443,1.1885007515024986,11,0.44,25,0,0,0.44,0.0,0.0,True,0.9999999999995614,25.0
0,1,pure,0.27413995296177207,0.5052839828099566,-0.04417378248669119,1.0213616807475503,11,0.44,25,0,0,0.44,0.0,0.0,True,0.7833993922170609,25.0
0,2,pure,-0.6921698666414775,0.4802610662052737,-0.14928959424293253,0.9240428895691607,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9999429819015426,25.0
0,3,pure,-0.05931788553484087,0.5274901519415617,-0.12699129873537982,1.116358006312545,11,0.44,25,0,0,0.44,0.0,0.0,True,0.978565753446258,25.0
0,4,pure,0.7879336174018815,0.5189048065643461,-0.0672271240003965,1.078590710621492,11,0.44,25,0,0,0.44,0.0,0.0,False,0.19784116073966723,25.0
0,5,pure,1.690847318114246,0.518472663039974,-0.16111230334916,1.0767252931332845,12,0.48,25,0,0,0.48,0.0,0.0,False,5.63246293204109e-05,25.0
0,6,pure,-1.0228733453805763,0.4717785779603876,-0.020547806503192878,0.8931454845937846,10,0.4,25,0,0,0.4,0.0,0.0,True,0.999999547796543,25.0
0,7,pure,0.26474965699684816,0.532296304090835,-0.06594115645229179,1.1381058322750879,10,0.4,25,0,0,0.4,0.0,0.0,True,0.8346899517273453,25.0
0,8,pure,1.4514390127670076,0.5694789192634964,-0.1431316388582483,1.3227666303570405,12,0.48,25,0,0,0.48,0.0,0.0,False,0.002847716904980911,25.0
0,9,pure,-0.15891057641466977,0.5351152497134072,-0.09646564183913495,1.151070774817885,11,0.44,25,0,0,0.44,0.0,0.0,True,0.991837206302061,25.0
0,10,pure,-2.8514440492388764,0.5461253164100672,-0.18349821835810923,1.203251329398846,12,0.48,25,0,0,0.48,0.0,0.0,True,1.0,25.0
0,11,pure,-0.17761207514838723,0.49114571070606267,-0.04347621746506677,0.9651991169958568,12,0.48,25,0,0,0.48,0.0,0.0,True,0.9863428440566435,25.0
0,12,pure,0.39635098434182814,0.5292350391399975,-0.11735896535841528,1.124202273196333,9,0.36,25,0,0,0.36,0.0,0.0,False,0.6971754350520499,25.0
0,13,pure,-0.8930585297314593,0.5115649787618756,-0.19683508751962092,1.0473552397310075,13,0.52,25,0,0,0.52,0.0,0.0,True,0.9999987679113704,25.0
