design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,21,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,9,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,1,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,20,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,19,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,17,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,15,0.64,0.6666666666666666,16,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,23,0.64,0.6956521739130435,16,25,23,0,2,0.0,0.08,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,3,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,25,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,24,0.56,0.56,14,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,2,0.64,0.64,16,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,1,0.68,0.7391304347826086,17,25,23,0,2,0.0,0.08,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,27,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,10,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,26,0.6,0.6,15,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,0,0.68,0.68,17,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,8,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,6,0.76,0.76,19,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,8,0.84,0.84,21,25,25,0,0,0.0,0.0,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.5,0.5,0.0,3,0.68,0.7083333333333334,17,25,24,0,1,0.0,0.04,True,0.5,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,22,0.6,0.6521739130434783,15,25,23,0,2,0.0,0.08,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
flip,pure,flip,0.42500000000000004,0.5,-0.07499999999999996,29,0.72,0.72,18,25,25,0,0,0.0,0.0,True,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
