design,treatment,signal_mode,theta,theta_star,theta_relative,rep,join_fraction,join_fraction_valid,n_join,n_agents,n_valid,n_api_error,n_unparseable,api_error_rate,unparseable_rate,coup_success,theoretical_attack,benefit,cost,model
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,17,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,23,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,20,0.2,0.20833333333333334,5,25,24,0,1,0.0,0.04,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,16,0.28,0.28,7,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,18,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,26,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,29,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,25,0.32,0.32,8,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,22,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,10,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,5,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,2,0.12,0.125,3,25,24,0,1,0.0,0.04,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,28,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,24,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,15,0.28,0.28,7,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,4,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,3,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,17,0.24,0.24,6,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,16,0.12,0.12,3,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,0,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,9,0.08,0.08,2,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,14,0.08,0.08333333333333333,2,25,24,0,1,0.0,0.04,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,8,0.16,0.16,4,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,7,0.2,0.2,5,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,6,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,19,0.28,0.28,7,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.35000000000000003,0.5,-0.14999999999999997,21,0.28,0.28,7,25,25,0,0,0.0,0.0,False,0.691462461274013,1.0,1.0,openai/gpt-oss-120b
baseline,pure,normal,0.42500000000000004,0.5,-0.07499999999999996,26,0.04,0.04,1,25,25,0,0,0.0,0.0,False,0.5987063256829237,1.0,1.0,openai/gpt-oss-120b
